DOI	title	link_url	journal
https://doi.org/10.1103/PhysRevB.95.155131	Thermoelectric transport in disordered metals without quasiparticles: The Sachdev-Ye-Kitaev models and holography	https://journals.aps.org/prb/abstract/10.1103/PhysRevB.95.155131	prb
https://doi.org/10.1103/PhysRevB.95.155426	Genetic algorithm prediction of two-dimensional group-IV dioxides for dielectrics	https://journals.aps.org/prb/abstract/10.1103/PhysRevB.95.155426	prb
https://doi.org/10.1103/PhysRevB.95.155126	Dynamically enriched topological orders in driven two-dimensional systems	https://journals.aps.org/prb/abstract/10.1103/PhysRevB.95.155126	prb
https://doi.org/10.1103/PhysRevB.95.161306	Chiral anomaly factory: Creating Weyl fermions with a magnetic field	https://journals.aps.org/prb/abstract/10.1103/PhysRevB.95.161306	prb
https://doi.org/10.1103/PhysRevB.95.140404	Self-focusing skyrmion racetracks in ferrimagnets	https://journals.aps.org/prb/abstract/10.1103/PhysRevB.95.140404	prb
https://doi.org/10.1103/PhysRevB.95.144414	Single-ion properties of the <span class="aps-inline-formula"><math xmlns="http://www.w3.org/1998/Math/MathML"><msub><mi>S</mi><mi>eff</mi></msub></math></span> = <span class="aps-inline-formula"><math xmlns="http://www.w3.org/1998/Math/MathML"><mfrac><mn>1</mn><mn>2</mn></mfrac></math></span> XY antiferromagnetic pyrochlores <span class="aps-inline-formula"><math xmlns="http://www.w3.org/1998/Math/MathML"><mrow><mi>Na</mi><msup><mi>A</mi><mo>′</mo></msup><msub><mi>Co</mi><mn>2</mn></msub><msub><mi mathvariant="normal">F</mi><mn>7</mn></msub></mrow></math></span> (<span class="aps-inline-formula"><math xmlns="http://www.w3.org/1998/Math/MathML"><mrow><msup><mi>A</mi><mo>′</mo></msup><mo>=</mo><msup><mrow><mi>Ca</mi></mrow><mrow><mn>2</mn><mo>+</mo></mrow></msup></mrow><mo>,</mo><mo> </mo><msup><mrow><mi>Sr</mi></mrow><mrow><mn>2</mn><mo>+</mo></mrow></msup></math></span>)	https://journals.aps.org/prb/abstract/10.1103/PhysRevB.95.144414	prb
https://doi.org/10.1103/PhysRevB.95.165416	Phase space manipulation of free-electron pulses from metal nanotips using combined terahertz near fields and external biasing	https://journals.aps.org/prb/abstract/10.1103/PhysRevB.95.165416	prb
https://doi.org/10.1103/PhysRevB.95.144411	Counter-rotating standing spin waves: A magneto-optical illusion	https://journals.aps.org/prb/abstract/10.1103/PhysRevB.95.144411	prb
https://doi.org/10.1103/PhysRevB.95.165116	Bosonic integer quantum Hall effect as topological pumping	https://journals.aps.org/prb/abstract/10.1103/PhysRevB.95.165116	prb
https://doi.org/10.1103/PhysRevB.95.134410	Magnetic properties of ultrathin <span class="aps-inline-formula"><math xmlns="http://www.w3.org/1998/Math/MathML"><mrow><mn>3</mn><mi>d</mi></mrow></math></span> transition-metal binary alloys. I. Spin and orbital moments, anisotropy, and confirmation of Slater-Pauling behavior	https://journals.aps.org/prb/abstract/10.1103/PhysRevB.95.134410	prb
https://doi.org/10.1103/PhysRevB.95.161201	Locking of electron spin coherence above 20 ms in natural silicon carbide	https://journals.aps.org/prb/abstract/10.1103/PhysRevB.95.161201	prb
https://doi.org/10.1103/PhysRevB.95.165109	Topological tight-binding models from nontrivial square roots	https://journals.aps.org/prb/abstract/10.1103/PhysRevB.95.165109	prb
https://doi.org/10.1103/PhysRevB.95.134409	Vortex-antivortex proliferation from an obstacle in thin film ferromagnets	https://journals.aps.org/prb/abstract/10.1103/PhysRevB.95.134409	prb
https://doi.org/10.1103/PhysRevB.95.144402	Spin superfluid Josephson quantum devices	https://journals.aps.org/prb/abstract/10.1103/PhysRevB.95.144402	prb
https://doi.org/10.1103/PhysRevB.95.165101	Partial time-reversal transformation and entanglement negativity in fermionic systems	https://journals.aps.org/prb/abstract/10.1103/PhysRevB.95.165101	prb
https://doi.org/10.1103/PhysRevA.95.042345	Measuring the Berry phase in a superconducting phase qubit by a shortcut to adiabaticity	https://journals.aps.org/pra/abstract/10.1103/PhysRevA.95.042345	pra
https://doi.org/10.1103/PhysRevA.95.043831	Quantum correlation measurements in interferometric gravitational-wave detectors	https://journals.aps.org/pra/abstract/10.1103/PhysRevA.95.043831	pra
https://doi.org/10.1103/PhysRevA.95.042124	Controlling electron spin dynamics in bichromatic Kapitza-Dirac scattering by the laser field polarization	https://journals.aps.org/pra/abstract/10.1103/PhysRevA.95.042124	pra
https://doi.org/10.1103/PhysRevA.95.042512	Low-energy <span class="aps-inline-formula"><math xmlns="http://www.w3.org/1998/Math/MathML"><mrow><mi>E</mi><mn>0</mn></mrow></math></span> transition between the components of the ground-state doublet in the muonic atom <span class="aps-inline-formula"><math xmlns="http://www.w3.org/1998/Math/MathML"><mmultiscripts><mi>Th</mi><mprescripts></mprescripts><none></none><mn>229</mn></mmultiscripts></math></span>	https://journals.aps.org/pra/abstract/10.1103/PhysRevA.95.042512	pra
https://doi.org/10.1103/PhysRevA.95.043627	Double resonance of Raman transitions in a degenerate Fermi gas	https://journals.aps.org/pra/abstract/10.1103/PhysRevA.95.043627	pra
https://doi.org/10.1103/PhysRevA.95.043822	Detuning-dependent properties and dispersion-induced instabilities of temporal dissipative Kerr solitons in optical microresonators	https://journals.aps.org/pra/abstract/10.1103/PhysRevA.95.043822	pra
